vehicle_id,timestamp,gps_latitude,gps_longitude,lidar_points,radar_objects,camera_objects,packet_drop_rate,packet_delivery_ratio,latency_ms,throughput_kbps,collision_detected,obstacle_detection_accuracy,decision_accuracy
1038,01/01/2025 00:00,37.11156565,-121.0628974,28474.0,37.0,20.0,0.042,0.771,228.0,803.0,1.0,0.84,0.79
1083,01/01/2025 00:00,37.53139957,-121.9992918,25569.0,48.0,32.0,0.009,0.733,209.0,120.0,0.0,0.78,0.82
1034,01/01/2025 00:00,37.34287443,-121.807894,11304.0,36.0,5.0,0.014,0.822,89.0,993.0,0.0,0.78,0.89
1080,01/01/2025 00:00,37.16052103,-121.2660016,12801.0,40.0,33.0,0.153,0.716,239.0,348.0,0.0,0.83,0.88
1008,01/01/2025 00:00,37.79777874,-121.4735118,26214.0,27.0,44.0,0.212,0.972,288.0,688.0,0.0,0.96,0.75
1059,01/01/2025 00:00,37.81553954,-121.009048,24821.0,38.0,10.0,0.295,0.835,124.0,452.0,0.0,0.93,0.99
1061,01/01/2025 00:00,37.3062711,-121.215717,12705.0,22.0,31.0,0.047,0.704,246.0,365.0,0.0,0.97,0.71
1067,01/01/2025 00:00,37.653766,-121.3358748,14397.0,16.0,41.0,0.209,0.767,31.0,839.0,0.0,1.0,0.8
1015,01/01/2025 00:00,37.39407226,-121.0878313,20954.0,27.0,26.0,0.166,0.987,150.0,501.0,0.0,0.7,0.94
1015,01/01/2025 00:00,37.04447617,-121.662799,24266.0,6.0,11.0,0.143,0.849,237.0,834.0,0.0,0.91,0.96
1092,01/01/2025 00:00,37.42777753,-121.8324211,17334.0,48.0,5.0,0.217,0.808,79.0,848.0,0.0,0.74,0.94
1095,01/01/2025 00:00,37.57586073,-121.4529201,26717.0,31.0,17.0,0.072,0.795,82.0,587.0,0.0,0.98,0.81
1031,01/01/2025 00:00,37.29903675,-121.761526,18047.0,35.0,48.0,0.093,0.825,263.0,356.0,0.0,0.77,0.9
1037,01/01/2025 00:00,37.94889571,-121.7676142,27661.0,26.0,18.0,0.115,0.764,161.0,649.0,1.0,0.8,0.93
1038,01/01/2025 00:00,37.55804322,-121.6936992,10853.0,9.0,19.0,0.055,0.925,176.0,794.0,0.0,0.99,0.87
1061,01/01/2025 00:00,37.37146974,-121.3248613,16838.0,21.0,16.0,0.144,0.852,98.0,687.0,0.0,0.96,0.9
1062,01/01/2025 00:00,37.73502008,-121.9764099,29204.0,47.0,45.0,0.04,0.925,228.0,142.0,1.0,0.71,0.87
1015,01/01/2025 00:00,37.34092024,-121.1500115,10112.0,11.0,8.0,0.095,0.776,179.0,150.0,0.0,0.71,0.72
1053,01/01/2025 00:00,37.02470616,-121.3879532,14785.0,22.0,48.0,0.034,0.7,277.0,192.0,0.0,0.95,0.78
1014,01/01/2025 00:00,37.00826074,-121.6955457,20913.0,6.0,47.0,0.011,0.99,266.0,925.0,0.0,0.72,0.91
1017,01/01/2025 00:00,37.30196962,-121.8868955,24644.0,35.0,25.0,0.107,0.854,214.0,671.0,0.0,0.96,0.77
1003,01/01/2025 00:00,37.15598405,-121.2099754,22239.0,32.0,6.0,0.185,0.724,176.0,815.0,1.0,0.98,0.84
1036,01/01/2025 00:00,37.35246325,-121.5635664,19236.0,7.0,25.0,0.046,0.731,143.0,104.0,0.0,0.71,0.86
1039,01/01/2025 00:00,37.76966066,-121.5646941,17135.0,13.0,18.0,0.298,0.83,166.0,141.0,0.0,0.77,0.9
1062,01/01/2025 00:00,37.30905056,-121.5297693,21794.0,37.0,48.0,0.082,0.909,187.0,357.0,0.0,0.71,0.78
1067,01/01/2025 00:00,37.55964736,-121.5860505,12850.0,32.0,6.0,0.007,0.819,77.0,543.0,1.0,0.72,0.88
1016,01/01/2025 00:00,37.91964566,-121.486705,11873.0,32.0,15.0,0.008,0.946,32.0,,0.0,0.86,0.88
1080,01/01/2025 00:00,37.69829286,-121.3693477,16904.0,22.0,41.0,0.2,0.799,,658.0,1.0,0.92,0.95
1097,01/01/2025 00:00,37.56175815,-121.5689875,15717.0,19.0,18.0,0.201,0.714,110.0,665.0,0.0,0.84,0.87
1047,01/01/2025 00:00,37.86705573,-121.0271971,18806.0,15.0,24.0,0.271,0.702,11.0,134.0,0.0,0.82,0.79
1018,01/01/2025 00:00,37.33064394,-121.6024032,12269.0,29.0,39.0,0.027,0.958,251.0,658.0,1.0,0.76,0.86
1085,01/01/2025 00:00,37.19784475,-121.7855604,13549.0,9.0,31.0,0.113,0.995,269.0,479.0,0.0,0.77,0.73
1038,01/01/2025 00:00,37.7471695,-121.0198942,13074.0,45.0,10.0,0.267,0.74,158.0,628.0,0.0,0.87,0.88
1064,01/01/2025 00:00,37.05879386,-121.7038899,28535.0,31.0,11.0,0.239,0.719,35.0,486.0,0.0,0.96,0.97
1052,01/01/2025 00:00,37.4241824,-121.3791913,25711.0,16.0,49.0,0.07,0.974,241.0,172.0,0.0,0.82,0.86
1017,01/01/2025 00:00,37.2870765,-121.1714002,13738.0,14.0,5.0,0.267,0.73,170.0,419.0,0.0,0.98,0.79
1038,01/01/2025 00:00,37.971325,-121.9960453,10731.0,13.0,17.0,0.204,0.769,159.0,951.0,0.0,0.72,0.82
1059,01/01/2025 00:00,37.37709563,-121.7171667,14084.0,6.0,42.0,0.079,0.94,15.0,431.0,0.0,0.95,0.97
1091,01/01/2025 00:00,37.66342913,-121.4681815,17660.0,13.0,21.0,0.013,0.999,93.0,106.0,0.0,0.8,0.94
1076,01/01/2025 00:00,37.2684846,-121.5441181,12799.0,20.0,42.0,0.149,0.846,295.0,576.0,0.0,0.96,0.94
1034,01/01/2025 00:00,37.98317256,-121.9272026,23338.0,5.0,40.0,0.214,0.763,116.0,985.0,0.0,0.98,0.87
