vehicle_id,timestamp,gps_latitude,gps_longitude,lidar_points,radar_objects,camera_objects,packet_drop_rate,packet_delivery_ratio,latency_ms,throughput_kbps,collision_detected,obstacle_detection_accuracy,decision_accuracy
1038,2025-01-01 00:00:00,37.111565651240966,-121.06289742322419,28474,37,20,0.042,0.771,228,803,1,0.84,0.79
1083,2025-01-01 00:00:01,37.53139956800648,-121.99929179389969,25569,48,32,0.009,0.733,209,120,0,0.78,0.82
1034,2025-01-01 00:00:02,37.34287442675458,-121.80789396829708,11304,36,5,0.014,0.822,89,993,0,0.78,0.89
1080,2025-01-01 00:00:03,37.16052102969187,-121.26600159152667,12801,40,33,0.153,0.716,239,348,0,0.83,0.88
1008,2025-01-01 00:00:04,37.79777873901404,-121.47351178577247,26214,27,44,0.212,0.972,288,688,0,0.96,0.75
1059,2025-01-01 00:00:05,37.81553953998813,-121.00904804031971,24821,38,10,0.295,0.835,124,452,0,0.93,0.99
1061,2025-01-01 00:00:06,37.306271103100194,-121.21571703542652,12705,22,31,0.047,0.704,246,365,0,0.97,0.71
1067,2025-01-01 00:00:07,37.65376599619632,-121.3358748117804,14397,16,41,0.209,0.767,31,839,0,1.0,0.8
1015,2025-01-01 00:00:08,37.394072255954555,-121.08783132821706,20954,27,26,0.166,0.987,150,501,0,0.7,0.94
1015,2025-01-01 00:00:09,37.04447617114303,-121.66279899332473,24266,6,11,0.143,0.849,237,834,0,0.91,0.96
1092,2025-01-01 00:00:10,37.42777752981122,-121.8324211367764,17334,48,5,0.217,0.808,79,848,0,0.74,0.94
1095,2025-01-01 00:00:11,37.57586072577871,-121.45292013998717,26717,31,17,0.072,0.795,82,587,0,0.98,0.81
1031,2025-01-01 00:00:12,37.2990367460072,-121.76152596166425,18047,35,48,0.093,0.825,263,356,0,0.77,0.9
1037,2025-01-01 00:00:13,37.94889571452098,-121.76761422778863,27661,26,18,0.115,0.764,161,649,1,0.8,0.93
1038,2025-01-01 00:00:14,37.55804321834094,-121.69369921175345,10853,9,19,0.055,0.925,176,794,0,0.99,0.87
1061,2025-01-01 00:00:15,37.37146973877539,-121.3248612657469,16838,21,16,0.144,0.852,98,687,0,0.96,0.9
1062,2025-01-01 00:00:16,37.73502008490766,-121.97640987442546,29204,47,45,0.04,0.925,228,142,1,0.71,0.87
1015,2025-01-01 00:00:17,37.340920243496356,-121.15001154746471,10112,11,8,0.095,0.776,179,150,0,0.71,0.72
1053,2025-01-01 00:00:18,37.02470615852135,-121.38795324263639,14785,22,48,0.034,0.7,277,192,0,0.95,0.78
1014,2025-01-01 00:00:19,37.008260744444186,-121.69554567184159,20913,6,47,0.011,0.99,266,925,0,0.72,0.91
1017,2025-01-01 00:00:20,37.30196962265821,-121.8868954625595,24644,35,25,0.107,0.854,214,671,0,0.96,0.77
1003,2025-01-01 00:00:21,37.155984048542365,-121.20997543690959,22239,32,6,0.185,0.724,176,815,1,0.98,0.84
1036,2025-01-01 00:00:22,37.35246324818331,-121.56356640339347,19236,7,25,0.046,0.731,143,104,0,0.71,0.86
1039,2025-01-01 00:00:23,37.769660657367396,-121.56469405402653,17135,13,18,0.298,0.83,166,141,0,0.77,0.9
1062,2025-01-01 00:00:24,37.309050555373325,-121.52976934884835,21794,37,48,0.082,0.909,187,357,0,0.71,0.78
1067,2025-01-01 00:00:25,37.55964735585739,-121.58605049461026,12850,32,6,0.007,0.819,77,543,1,0.72,0.88
1016,2025-01-01 00:00:26,37.91964565509843,-121.48670502937283,11873,32,15,0.008,0.946,32,497,0,0.86,0.88
1080,2025-01-01 00:00:27,37.69829285976944,-121.36934765868594,16904,22,41,0.2,0.799,273,658,1,0.92,0.95
1097,2025-01-01 00:00:28,37.56175814689096,-121.5689875181632,15717,19,18,0.201,0.714,110,665,0,0.84,0.87
1047,2025-01-01 00:00:29,37.86705573392465,-121.02719711639429,18806,15,24,0.271,0.702,11,134,0,0.82,0.79
1018,2025-01-01 00:00:30,37.330643935585194,-121.60240319689801,12269,29,39,0.027,0.958,251,658,1,0.76,0.86
1085,2025-01-01 00:00:31,37.19784474721896,-121.78556040843674,13549,9,31,0.113,0.995,269,479,0,0.77,0.73
1038,2025-01-01 00:00:32,37.74716949705472,-121.01989419255756,13074,45,10,0.267,0.74,158,628,0,0.87,0.88
1064,2025-01-01 00:00:33,37.05879386020077,-121.70388989571931,28535,31,11,0.239,0.719,35,486,0,0.96,0.97
1052,2025-01-01 00:00:34,37.424182404560206,-121.37919128910701,25711,16,49,0.07,0.974,241,172,0,0.82,0.86
1017,2025-01-01 00:00:35,37.287076499072384,-121.17140018183922,13738,14,5,0.267,0.73,170,419,0,0.98,0.79
1038,2025-01-01 00:00:36,37.97132500261619,-121.99604525163966,10731,13,17,0.204,0.769,159,951,0,0.72,0.82
1059,2025-01-01 00:00:37,37.37709563055241,-121.71716669367363,14084,6,42,0.079,0.94,15,431,0,0.95,0.97
1091,2025-01-01 00:00:38,37.663429127203806,-121.46818153736695,17660,13,21,0.013,0.999,93,106,0,0.8,0.94
1076,2025-01-01 00:00:39,37.26848459746547,-121.54411806995117,12799,20,42,0.149,0.846,295,576,0,0.96,0.94
1034,2025-01-01 00:00:40,37.98317256081263,-121.92720262996073,23338,5,40,0.214,0.763,116,985,0,0.98,0.87
1072,2025-01-01 00:00:41,37.180391703382156,-121.55294363243732,13854,25,42,0.081,0.954,242,417,0,0.91,0.82
1080,2025-01-01 00:00:42,37.90670278560458,-121.8940503034166,12205,41,5,0.051,0.818,17,733,0,0.81,0.74
1033,2025-01-01 00:00:43,37.44537162150646,-121.75013028457423,24026,43,5,0.023,0.782,101,992,0,0.84,0.99
1014,2025-01-01 00:00:44,37.427275544238356,-121.25121192487168,28348,5,23,0.253,0.847,169,117,0,0.87,0.75
1072,2025-01-01 00:00:45,37.70129723130396,-121.82142830804857,11204,44,34,0.016,0.957,18,869,0,0.84,0.78
1018,2025-01-01 00:00:46,37.09331750811166,-121.33471970489579,22123,18,17,0.183,0.77,53,787,0,0.94,0.93
1074,2025-01-01 00:00:47,37.54669226856222,-121.0270697961691,21463,44,11,0.229,0.827,268,110,0,0.93,0.81
1087,2025-01-01 00:00:48,37.21997065688978,-121.75301682139107,16588,48,47,0.234,0.833,237,893,0,0.7,0.88
1084,2025-01-01 00:00:49,37.15712168862835,-121.7404527654819,22554,36,24,0.196,0.95,272,737,1,0.75,0.93
1062,2025-01-01 00:00:50,37.87747451906687,-121.04690756563498,26050,28,48,0.196,0.903,19,246,0,0.81,0.87
1081,2025-01-01 00:00:51,37.99728678638896,-121.33486097771228,19941,43,13,0.142,0.934,265,841,0,0.9,0.85
1025,2025-01-01 00:00:52,37.971196857533045,-121.22989608228968,15321,41,17,0.125,0.908,155,695,0,0.77,0.72
1048,2025-01-01 00:00:53,37.82116132005162,-121.2084864611861,14323,37,43,0.041,0.878,42,955,0,0.8,0.85
1003,2025-01-01 00:00:54,37.91997063421353,-121.27014193758856,23335,34,24,0.161,0.74,99,586,0,0.84,0.84
1065,2025-01-01 00:00:55,37.924212542668045,-121.023202405447,28976,30,29,0.021,0.95,48,617,0,0.88,0.96
1016,2025-01-01 00:00:56,37.17636145970599,-121.72525460564454,20645,47,9,0.14,0.882,193,651,0,0.97,0.83
1000,2025-01-01 00:00:57,37.08569846723914,-121.48163056674335,17995,48,29,0.219,0.91,90,264,0,0.94,0.89
1076,2025-01-01 00:00:58,37.126785595321856,-121.33592157147136,25763,18,16,0.133,0.934,116,220,0,0.81,0.93
1073,2025-01-01 00:00:59,37.162604385377016,-121.29273886675904,21274,16,30,0.152,0.794,75,164,0,0.93,0.84
1080,2025-01-01 00:01:00,37.82244698588996,-121.8078450481419,16946,48,26,0.253,0.831,110,407,0,0.95,0.78
1084,2025-01-01 00:01:01,37.941274858021295,-121.12449267901188,26290,7,5,0.194,0.862,105,869,0,0.86,0.97
1008,2025-01-01 00:01:02,37.35183881374989,-121.18525512103952,11088,11,12,0.038,0.803,276,329,0,0.79,0.97
