vehicle_id,timestamp,gps_latitude,gps_longitude,lidar_points,radar_objects,camera_objects,packet_drop_rate,packet_delivery_ratio,latency_ms,throughput_kbps,collision_detected,obstacle_detection_accuracy,decision_accuracy
1038,01/01/2025 00:00,37.11156565,-121.0628974,28474,37,20,0.042,0.771,228,803,1,0.84,0.79
1083,01/01/2025 00:00,37.53139957,-121.9992918,25569,48,32,0.009,0.733,209,120,0,0.78,0.82
1034,01/01/2025 00:00,37.34287443,-121.807894,11304,36,5,0.014,0.822,89,993,0,0.78,0.89
1080,01/01/2025 00:00,37.16052103,-121.2660016,12801,40,33,0.153,0.716,239,348,0,0.83,0.88
1008,01/01/2025 00:00,37.79777874,-121.4735118,26214,27,44,0.212,0.972,288,688,0,0.96,0.75
1059,01/01/2025 00:00,37.81553954,-121.009048,24821,38,10,0.295,0.835,124,452,0,0.93,0.99
1061,01/01/2025 00:00,37.3062711,-121.215717,12705,22,31,0.047,0.704,246,365,0,0.97,0.71
1067,01/01/2025 00:00,37.653766,-121.3358748,14397,16,41,0.209,0.767,31,839,0,1,0.8
1015,01/01/2025 00:00,37.39407226,-121.0878313,20954,27,26,0.166,0.987,150,501,0,0.7,0.94
1015,01/01/2025 00:00,37.04447617,-121.662799,24266,6,11,0.143,0.849,237,834,0,0.91,0.96
1092,01/01/2025 00:00,37.42777753,-121.8324211,17334,48,5,0.217,0.808,79,848,0,0.74,0.94
1095,01/01/2025 00:00,37.57586073,-121.4529201,26717,31,17,0.072,0.795,82,587,0,0.98,0.81
1031,01/01/2025 00:00,37.29903675,-121.761526,18047,35,48,0.093,0.825,263,356,0,0.77,0.9
1037,01/01/2025 00:00,37.94889571,-121.7676142,27661,26,18,0.115,0.764,161,649,1,0.8,0.93
1038,01/01/2025 00:00,37.55804322,-121.6936992,10853,9,19,0.055,0.925,176,794,0,0.99,0.87
1061,01/01/2025 00:00,37.37146974,-121.3248613,16838,21,16,0.144,0.852,98,687,0,0.96,0.9
1062,01/01/2025 00:00,37.73502008,-121.9764099,29204,47,45,0.04,0.925,228,142,1,0.71,0.87
1015,01/01/2025 00:00,37.34092024,-121.1500115,10112,11,8,0.095,0.776,179,150,0,0.71,0.72
1053,01/01/2025 00:00,37.02470616,-121.3879532,14785,22,48,0.034,0.7,277,192,0,0.95,0.78
1014,01/01/2025 00:00,37.00826074,-121.6955457,20913,6,47,0.011,0.99,266,925,0,0.72,0.91
1017,01/01/2025 00:00,37.30196962,-121.8868955,24644,35,25,0.107,0.854,214,671,0,0.96,0.77
1003,01/01/2025 00:00,37.15598405,-121.2099754,22239,32,6,0.185,0.724,176,815,1,0.98,0.84
1036,01/01/2025 00:00,37.35246325,-121.5635664,19236,7,25,0.046,0.731,143,104,0,0.71,0.86
