vehicle_id,timestamp,gps_latitude,gps_longitude,lidar_points,radar_objects,camera_objects,packet_drop_rate,packet_delivery_ratio,latency_ms,throughput_kbps,collision_detected,obstacle_detection_accuracy,decision_accuracy,modified_row_index,modified_column_name,timestamp 
1038,2025-01-01 00:00:00,37.111565651240966,-121.0628974232242,28474.0,37.0,20.0,0.042,0.771,228.0,803.0,1.0,0.84,0.79,0,,01/01/2025 00:00:00
1083,2025-01-01 00:00:01,37.53139956800648,-121.99929179389969,25569.0,48.0,32.0,0.009,0.733,209.0,120.0,0.0,0.78,0.82,1,,01/01/2025 00:00:01
1034,2025-01-01 00:00:02,37.34287442675458,-121.80789396829708,11304.0,36.0,5.0,0.014,0.822,89.0,993.0,0.0,0.78,0.89,2,,01/01/2025 00:00:02
1080,2025-01-01 00:00:03,37.16052102969187,-121.26600159152667,12801.0,40.0,33.0,0.153,0.716,239.0,348.0,0.0,0.83,0.88,3,,01/01/2025 00:00:03
1008,2025-01-01 00:00:04,37.79777873901404,,26214.0,27.0,44.0,0.212,0.972,288.0,688.0,0.0,0.96,0.75,4,gps_longitude,01/01/2025 00:00:04
1059,2025-01-01 00:00:05,37.81553953998813,-121.00904804031973,24821.0,38.0,10.0,0.295,0.835,124.0,452.0,0.0,0.93,0.99,5,,01/01/2025 00:00:05
1061,2025-01-01 00:00:06,37.306271103100194,-121.21571703542652,12705.0,22.0,31.0,0.047,0.704,246.0,365.0,0.0,0.97,0.71,6,,01/01/2025 00:00:06
1067,2025-01-01 00:00:07,37.65376599619632,-121.3358748117804,14397.0,16.0,41.0,0.209,0.767,31.0,839.0,0.0,1.0,0.8,7,,01/01/2025 00:00:07
1015,2025-01-01 00:00:08,37.39407225595456,-121.08783132821706,20954.0,27.0,26.0,0.166,0.987,150.0,501.0,0.0,0.7,0.94,8,,01/01/2025 00:00:08
1015,2025-01-01 00:00:09,37.04447617114303,-121.66279899332471,24266.0,6.0,11.0,0.143,0.849,237.0,834.0,0.0,0.91,0.96,9,,01/01/2025 00:00:09
1092,2025-01-01 00:00:10,37.42777752981122,-121.8324211367764,17334.0,48.0,5.0,0.217,0.808,79.0,848.0,0.0,0.74,0.94,10,,01/01/2025 00:00:10
1095,2025-01-01 00:00:11,37.57586072577871,-121.45292013998716,26717.0,31.0,17.0,0.072,0.795,82.0,587.0,0.0,0.98,0.81,11,,01/01/2025 00:00:11
1031,2025-01-01 00:00:12,37.2990367460072,-121.76152596166423,18047.0,35.0,48.0,0.093,0.825,263.0,356.0,0.0,0.77,0.9,12,,01/01/2025 00:00:12
1037,2025-01-01 00:00:13,37.94889571452098,-121.76761422778864,27661.0,26.0,18.0,0.115,0.764,161.0,649.0,1.0,0.8,0.93,13,,01/01/2025 00:00:13
1038,2025-01-01 00:00:14,37.55804321834094,-121.69369921175344,10853.0,9.0,19.0,0.055,0.925,176.0,794.0,0.0,0.99,0.87,14,,01/01/2025 00:00:14
1061,2025-01-01 00:00:15,37.37146973877539,-121.3248612657469,16838.0,21.0,16.0,0.144,0.852,98.0,687.0,0.0,0.96,0.9,15,,01/01/2025 00:00:15
1062,2025-01-01 00:00:16,37.73502008490766,-121.97640987442546,29204.0,47.0,45.0,0.04,0.925,228.0,142.0,1.0,0.71,0.87,16,,01/01/2025 00:00:16
1015,2025-01-01 00:00:17,37.34092024349636,-121.15001154746471,10112.0,11.0,8.0,0.095,0.776,179.0,150.0,0.0,0.71,0.72,17,,01/01/2025 00:00:17
1053,2025-01-01 00:00:18,37.02470615852135,-121.3879532426364,14785.0,22.0,48.0,0.034,0.7,277.0,192.0,0.0,0.95,0.78,18,,01/01/2025 00:00:18
1014,2025-01-01 00:00:19,37.008260744444186,-121.6955456718416,20913.0,6.0,47.0,0.011,0.99,266.0,925.0,0.0,0.72,0.91,19,,01/01/2025 00:00:19
1017,2025-01-01 00:00:20,37.30196962265821,-121.8868954625595,24644.0,35.0,25.0,0.107,0.854,214.0,671.0,0.0,0.96,0.77,20,,01/01/2025 00:00:20
1003,2025-01-01 00:00:21,37.155984048542365,-121.2099754369096,22239.0,32.0,6.0,0.185,0.724,176.0,815.0,1.0,0.98,0.84,21,,01/01/2025 00:00:21
1036,2025-01-01 00:00:22,37.35246324818331,-121.56356640339348,19236.0,7.0,25.0,0.046,0.731,143.0,104.0,0.0,0.71,0.86,22,,01/01/2025 00:00:22
1039,2025-01-01 00:00:23,37.7696606573674,-121.56469405402652,17135.0,13.0,18.0,0.298,0.83,166.0,141.0,0.0,0.77,0.9,23,,01/01/2025 00:00:23
1062,2025-01-01 00:00:24,37.309050555373325,-121.52976934884836,21794.0,37.0,48.0,0.082,0.909,187.0,357.0,0.0,0.71,0.78,24,,01/01/2025 00:00:24
1067,2025-01-01 00:00:25,37.55964735585739,-121.58605049461026,12850.0,32.0,6.0,0.007,0.819,77.0,543.0,1.0,0.72,0.88,25,,01/01/2025 00:00:25
1016,2025-01-01 00:00:26,37.91964565509843,-121.48670502937284,11873.0,32.0,15.0,0.008,0.946,32.0,497.0,0.0,0.86,0.88,26,,01/01/2025 00:00:26
1080,2025-01-01 00:00:27,37.69829285976944,-121.36934765868594,16904.0,22.0,41.0,0.2,0.799,273.0,658.0,1.0,0.92,0.95,27,,01/01/2025 00:00:27
1097,2025-01-01 00:00:28,37.56175814689096,-121.5689875181632,15717.0,19.0,18.0,0.201,0.714,110.0,665.0,0.0,0.84,0.87,28,,01/01/2025 00:00:28
1047,2025-01-01 00:00:29,37.86705573392465,-121.02719711639428,18806.0,15.0,24.0,0.271,0.702,11.0,134.0,0.0,0.82,0.79,29,,01/01/2025 00:00:29
1018,2025-01-01 00:00:30,37.3306439355852,-121.602403196898,12269.0,29.0,39.0,0.027,0.958,251.0,658.0,1.0,0.76,0.86,30,,01/01/2025 00:00:30
1085,2025-01-01 00:00:31,37.19784474721896,-121.78556040843674,13549.0,9.0,31.0,0.113,0.995,269.0,479.0,0.0,0.77,0.73,31,,01/01/2025 00:00:31
1038,2025-01-01 00:00:32,37.74716949705472,-121.01989419255756,13074.0,45.0,10.0,0.267,0.74,158.0,628.0,0.0,0.87,0.88,32,,01/01/2025 00:00:32
1064,2025-01-01 00:00:33,37.05879386020077,-121.70388989571931,28535.0,31.0,11.0,0.239,0.719,35.0,486.0,0.0,0.96,0.97,33,,01/01/2025 00:00:33
1052,2025-01-01 00:00:34,37.424182404560206,-121.379191289107,25711.0,16.0,49.0,0.07,0.974,241.0,172.0,0.0,0.82,0.86,34,,01/01/2025 00:00:34
1017,2025-01-01 00:00:35,37.287076499072384,-121.17140018183922,13738.0,14.0,5.0,0.267,0.73,170.0,419.0,0.0,0.98,0.79,35,,01/01/2025 00:00:35
1038,2025-01-01 00:00:36,37.97132500261619,-121.99604525163966,10731.0,13.0,17.0,0.204,0.769,159.0,951.0,0.0,0.72,0.82,36,,01/01/2025 00:00:36
1059,2025-01-01 00:00:37,37.37709563055241,-121.71716669367363,14084.0,6.0,42.0,0.079,0.94,15.0,431.0,0.0,0.95,0.97,37,,01/01/2025 00:00:37
1091,2025-01-01 00:00:38,37.663429127203806,-121.46818153736696,17660.0,13.0,21.0,0.013,0.999,93.0,106.0,0.0,0.8,0.94,38,,01/01/2025 00:00:38
1076,2025-01-01 00:00:39,37.26848459746547,-121.54411806995115,12799.0,20.0,42.0,0.149,0.846,295.0,576.0,0.0,0.96,0.94,39,,01/01/2025 00:00:39
1034,2025-01-01 00:00:40,37.98317256081263,-121.92720262996072,23338.0,5.0,40.0,0.214,0.763,116.0,985.0,0.0,0.98,0.87,40,,01/01/2025 00:00:40
1072,2025-01-01 00:00:41,37.18039170338216,-121.55294363243732,13854.0,25.0,42.0,0.081,0.954,242.0,417.0,0.0,0.91,0.82,41,,01/01/2025 00:00:41
1080,2025-01-01 00:00:42,37.90670278560458,-121.8940503034166,12205.0,,5.0,0.051,0.818,17.0,733.0,0.0,0.81,0.74,42,radar_objects,01/01/2025 00:00:42
1033,2025-01-01 00:00:43,37.44537162150646,-121.75013028457424,24026.0,43.0,5.0,0.023,0.782,101.0,992.0,0.0,0.84,0.99,43,,01/01/2025 00:00:43
1014,2025-01-01 00:00:44,37.42727554423836,-121.25121192487168,28348.0,5.0,23.0,0.253,0.847,169.0,117.0,0.0,0.87,0.75,44,,01/01/2025 00:00:44
1072,2025-01-01 00:00:45,37.70129723130396,-121.82142830804855,11204.0,44.0,34.0,0.016,0.957,18.0,869.0,0.0,0.84,0.78,45,,01/01/2025 00:00:45
1018,2025-01-01 00:00:46,37.09331750811166,-121.3347197048958,22123.0,18.0,17.0,0.183,0.77,53.0,787.0,0.0,0.94,0.93,46,,01/01/2025 00:00:46
1074,2025-01-01 00:00:47,37.54669226856222,-121.0270697961691,21463.0,44.0,11.0,0.229,0.827,268.0,110.0,0.0,0.93,0.81,47,,01/01/2025 00:00:47
1087,2025-01-01 00:00:48,37.21997065688978,-121.75301682139109,16588.0,48.0,47.0,0.234,0.833,237.0,893.0,0.0,0.7,0.88,48,,01/01/2025 00:00:48
1084,2025-01-01 00:00:49,37.15712168862835,-121.7404527654819,22554.0,36.0,24.0,0.196,0.95,272.0,737.0,1.0,0.75,0.93,49,,01/01/2025 00:00:49
1062,2025-01-01 00:00:50,37.87747451906687,-121.04690756563498,26050.0,28.0,48.0,0.196,0.903,19.0,246.0,0.0,0.81,0.87,50,,01/01/2025 00:00:50
1081,2025-01-01 00:00:51,37.99728678638896,-121.33486097771228,19941.0,43.0,13.0,0.142,0.934,265.0,841.0,0.0,0.9,0.85,51,,01/01/2025 00:00:51
1025,2025-01-01 00:00:52,37.971196857533045,-121.22989608228968,15321.0,41.0,17.0,0.125,0.908,155.0,695.0,0.0,0.77,0.72,52,,01/01/2025 00:00:52
1048,2025-01-01 00:00:53,37.82116132005162,-121.2084864611861,14323.0,37.0,43.0,0.041,0.878,42.0,955.0,0.0,0.8,0.85,53,,01/01/2025 00:00:53
1003,2025-01-01 00:00:54,37.91997063421353,-121.27014193758856,23335.0,34.0,24.0,0.161,0.74,99.0,586.0,0.0,0.84,0.84,54,,01/01/2025 00:00:54
1065,2025-01-01 00:00:55,37.924212542668045,-121.023202405447,28976.0,30.0,29.0,0.021,0.95,48.0,617.0,0.0,0.88,0.96,55,,01/01/2025 00:00:55
1016,2025-01-01 00:00:56,37.17636145970599,-121.72525460564454,20645.0,47.0,9.0,0.14,0.882,193.0,651.0,0.0,0.97,0.83,56,,01/01/2025 00:00:56
1000,2025-01-01 00:00:57,37.08569846723914,-121.48163056674336,17995.0,48.0,29.0,0.219,0.91,90.0,264.0,0.0,0.94,0.89,57,,01/01/2025 00:00:57
1076,2025-01-01 00:00:58,37.126785595321856,-121.33592157147136,25763.0,18.0,16.0,0.133,0.934,116.0,220.0,0.0,0.81,0.93,58,,01/01/2025 00:00:58
1073,2025-01-01 00:00:59,37.162604385377016,-121.29273886675904,21274.0,16.0,30.0,0.152,0.794,75.0,164.0,0.0,0.93,0.84,59,,01/01/2025 00:00:59
1080,2025-01-01 00:01:00,37.82244698588996,-121.8078450481419,16946.0,48.0,26.0,0.253,0.831,110.0,407.0,0.0,0.95,0.78,60,,01/01/2025 00:01:00
1084,2025-01-01 00:01:01,37.941274858021295,-121.12449267901188,26290.0,7.0,5.0,0.194,0.862,105.0,869.0,0.0,0.86,,61,decision_accuracy,01/01/2025 00:01:01
1008,2025-01-01 00:01:02,37.35183881374989,-121.18525512103952,11088.0,11.0,12.0,0.038,0.803,276.0,329.0,0.0,0.79,0.97,62,,01/01/2025 00:01:02
1094,2025-01-01 00:01:03,37.03436366033952,-121.73583148010484,21625.0,25.0,40.0,0.163,0.778,32.0,140.0,0.0,0.98,0.97,63,,01/01/2025 00:01:03
